,title,company,rating,summary,salary
0,Data Engineer,"Infinity Consulting Solutions, Inc.",3.1,Role: Data Engineer (Python + SQL + Docker) ~ 3-5 yrs of experience. Experience working on large scale projects as a lead (>3 yrs).,$50 - $70 an hour
1,Software Architect,Data Gumbo,No rating given.,"Reports To: VP, Product Delivery*. You will be responsible for defining, designing, and communicating Blockchain as a Service (BaaS) technical solutions.","Estimated: $130,000 - $170,000 a yearQuick Apply"
2,Senior Electrical engineer (Verification) REMOTE (willing to travel onsite 15%),LivaNova,3.5,"Great company culture: Employee Recognition Program, Service Awards, Bonus Referral Program. Work/life balance: Personal and Vacation Time, Flexible Work…","Estimated: $96,000 - $130,000 a year"
3,Senior Site Reliability Engineer (Remote),Progressive Leasing,3.6,"As a member of the Cloud Enablement team, you will design and implement platforms, processes, and tools that enable our developers to rapidly deliver both new…","Estimated: $99,000 - $140,000 a year"
4,Python Developer,RAPS PROFESSIONAL SERVICES PRIVATE LIMITED,No rating given.,Design and develop systems to for Commodities trading application in close partnership with Business functions. 2-10 years of Development experience.,"Estimated: $80,000 - $100,000 a yearQuick Apply"
5,Data Engineer,Integration Developer Network LLC,No rating given.,"Experience with Spark, Hadoop, Hive, Pig etc. Proven expertise with extracting data from a wide variety of sources and transforming the data as needed.",$70 - $75 an hour
6,Software Engineer,RPO International,No rating given.,"The goal of the workstream is to build a repeatable framework that supports Quants and Analysts, whilst also working directly with quants to tune and configure…",$60 - $75 an hour
7,Geoscience Researcher (728212),Aramco Services Company,3.7,Provides subject matter expert technical analysis and innovation leadership to advance geological technologies for the full reservoir life cycle ranging from…,"Estimated: $75,000 - $92,000 a yearQuick Apply"
8,Full Stack Python (Django) Developer,Skilljar,No rating given.,"This person will be responsible for the technical design, development, and deployment of our products. Contribute to the design and development of new products…","Estimated: $110,000 - $150,000 a yearQuick Apply"
9,Oracle Application DBA,DNV,3.8,"Installation, setup and operation of physical and virtual Linux servers on an Enterprise level. Installation, setup and operation of typical services and…","Estimated: $90,000 - $130,000 a year"
10,Controller Business Analytics,Sasol,4.1,"Combine business acumen, technology, and innovation to organize data, develop business insights and create an excellent data-driven and efficient Finance…","Estimated: $77,000 - $110,000 a year"
11,Sr. Software Development Test Lead,Nauticus Robotics,No rating given.,"Nauticus Robotics is actively seeking a software engineer to design, implement, document, and maintain test code and associated infrastructure that enables…","Estimated: $97,000 - $140,000 a year"
12,Data Analyst,RPO International,No rating given.,"_The Data Analyst gathers, analyses, models and profiles data to develop quantitative and qualitative business insights and clear requirements to accelerate…",$35 - $45 an hour
13,Research Technician II - RNA biology,Baylor College of Medicine,3.8,"Experience with computational analysis in R or python. The lab is looking for an enthusiastic, organized, technically-skilled research technician who will be…","Estimated: $42,000 - $57,000 a year"
14,Business Analyst,WiredHive,No rating given.,"Client is seeking an IT Business Analyst to serve as a liaison between the business groups and IT, interacting with system users to bridge business needs with…","$100,000 - $120,000 a year"
15,BIM Coordinator,Teal Systems,No rating given.,"Reporting to Eloyd Lozoya – Production Manager, the role of BIM Coordinator is to help drive, innovate, and push the boundary of how technology can support and…","Estimated: $64,000 - $88,000 a yearQuick Apply"
16,Python Developer,Locks Global Staffing LLC,No rating given.,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. 5+ years of SQL experience.","Estimated: $110,000 - $160,000 a yearQuick Apply"
17,GIS Technician,Targa Resources,3.6,VBA or python scripting for querying. Maintain centralized filing system and computer database (MS Access) for electronic drawings.,"Estimated: $56,000 - $77,000 a year"
18,"Remote Opportunity, Python and API Automation Specialist",Nova 401(k) Associates,No rating given.,Our automation specialist will focus exclusively on projects using technology to improve service for our clients and increase efficiencies for our staff.,"$70,000 - $75,000 a year"
19,Data Engineer,"Infinity Consulting Solutions, Inc.",3.1,Role: Data Engineer (Python + SQL + Docker) ~ 3-5 yrs of experience. Experience working on large scale projects as a lead (>3 yrs).,$50 - $70 an hour
20,Software Architect,Data Gumbo,No rating given.,"Reports To: VP, Product Delivery*. You will be responsible for defining, designing, and communicating Blockchain as a Service (BaaS) technical solutions.","Estimated: $130,000 - $170,000 a yearQuick Apply"
21,Senior Electrical engineer (Verification) REMOTE (willing to travel onsite 15%),LivaNova,3.5,"Great company culture: Employee Recognition Program, Service Awards, Bonus Referral Program. Work/life balance: Personal and Vacation Time, Flexible Work…","Estimated: $96,000 - $130,000 a year"
22,Senior Site Reliability Engineer (Remote),Progressive Leasing,3.6,"As a member of the Cloud Enablement team, you will design and implement platforms, processes, and tools that enable our developers to rapidly deliver both new…","Estimated: $99,000 - $140,000 a year"
23,Python Developer,RAPS PROFESSIONAL SERVICES PRIVATE LIMITED,No rating given.,Design and develop systems to for Commodities trading application in close partnership with Business functions. 2-10 years of Development experience.,"Estimated: $80,000 - $100,000 a yearQuick Apply"
24,Data Engineer,Integration Developer Network LLC,No rating given.,"Experience with Spark, Hadoop, Hive, Pig etc. Proven expertise with extracting data from a wide variety of sources and transforming the data as needed.",$70 - $75 an hour
25,Software Engineer,RPO International,No rating given.,"The goal of the workstream is to build a repeatable framework that supports Quants and Analysts, whilst also working directly with quants to tune and configure…",$60 - $75 an hour
26,Geoscience Researcher (728212),Aramco Services Company,3.7,Provides subject matter expert technical analysis and innovation leadership to advance geological technologies for the full reservoir life cycle ranging from…,"Estimated: $75,000 - $92,000 a yearQuick Apply"
27,Full Stack Python (Django) Developer,Skilljar,No rating given.,"This person will be responsible for the technical design, development, and deployment of our products. Contribute to the design and development of new products…","Estimated: $110,000 - $150,000 a yearQuick Apply"
28,Oracle Application DBA,DNV,3.8,"Installation, setup and operation of physical and virtual Linux servers on an Enterprise level. Installation, setup and operation of typical services and…","Estimated: $90,000 - $130,000 a year"
29,Controller Business Analytics,Sasol,4.1,"Combine business acumen, technology, and innovation to organize data, develop business insights and create an excellent data-driven and efficient Finance…","Estimated: $77,000 - $110,000 a year"
30,Sr. Software Development Test Lead,Nauticus Robotics,No rating given.,"Nauticus Robotics is actively seeking a software engineer to design, implement, document, and maintain test code and associated infrastructure that enables…","Estimated: $97,000 - $140,000 a year"
31,Data Analyst,RPO International,No rating given.,"_The Data Analyst gathers, analyses, models and profiles data to develop quantitative and qualitative business insights and clear requirements to accelerate…",$35 - $45 an hour
32,Research Technician II - RNA biology,Baylor College of Medicine,3.8,"Experience with computational analysis in R or python. The lab is looking for an enthusiastic, organized, technically-skilled research technician who will be…","Estimated: $42,000 - $57,000 a year"
33,Business Analyst,WiredHive,No rating given.,"Client is seeking an IT Business Analyst to serve as a liaison between the business groups and IT, interacting with system users to bridge business needs with…","$100,000 - $120,000 a year"
34,BIM Coordinator,Teal Systems,No rating given.,"Reporting to Eloyd Lozoya – Production Manager, the role of BIM Coordinator is to help drive, innovate, and push the boundary of how technology can support and…","Estimated: $64,000 - $88,000 a yearQuick Apply"
35,Python Developer,Locks Global Staffing LLC,No rating given.,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. 5+ years of SQL experience.","Estimated: $110,000 - $160,000 a yearQuick Apply"
